Time,Symbol,Funding Interval,Funding Rate
2023-12-19 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-19 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-18 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-18 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-18 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-17 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0153%
2023-12-17 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0129%
2023-12-17 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-16 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-16 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-16 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-15 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-15 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0120%
2023-12-15 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-14 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-14 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-14 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-13 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-13 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-13 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0145%
2023-12-12 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0219%
2023-12-12 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-12 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-11 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-11 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-11 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-10 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0187%
2023-12-10 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-10 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0244%
2023-12-09 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0176%
2023-12-09 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0350%
2023-12-09 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0193%
2023-12-08 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0247%
2023-12-08 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0110%
2023-12-08 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-07 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-07 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-07 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-06 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-06 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-06 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-05 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-05 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-05 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-04 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-04 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-04 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-03 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-03 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-03 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-02 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-02 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-02 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-01 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-01 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-12-01 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-30 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-30 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-30 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-29 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
